2026/09/17 19:01:39.941, 40, 3.55 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:01:42.016, 40, 3.61 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:01:44.093, 40, 3.48 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:01:46.177, 40, 3.69 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:01:48.246, 40, 3.58 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:01:50.315, 40, 3.44 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:01:52.387, 40, 3.74 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:01:54.456, 40, 3.79 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:01:56.524, 40, 3.41 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:01:58.593, 40, 3.43 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:00.659, 40, 3.37 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:02.735, 40, 3.45 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:04.815, 40, 3.51 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:06.902, 40, 3.72 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:08.984, 40, 3.59 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:11.053, 40, 3.46 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:13.120, 40, 3.49 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:15.190, 40, 3.41 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:17.258, 40, 3.46 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:19.327, 40, 3.45 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:21.400, 40, 3.40 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:23.469, 40, 3.64 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:25.536, 40, 3.39 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:27.608, 40, 3.42 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:29.677, 40, 3.46 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:31.746, 40, 3.38 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:33.813, 40, 3.46 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:35.885, 41, 3.43 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:37.953, 41, 3.51 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:40.022, 41, 3.51 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:42.088, 41, 3.43 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:44.157, 41, 3.40 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:46.224, 41, 3.41 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:48.293, 42, 3.57 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:50.360, 42, 3.44 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:52.435, 42, 3.43 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:54.503, 42, 3.78 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:56.573, 42, 3.45 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:02:58.642, 42, 3.44 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:03:00.712, 42, 3.52 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:03:02.786, 42, 3.43 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:03:04.871, 42, 3.57 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
